分类,name,label,preview,send,text,states,command,option,select,toggle,commit,repeatable,functional,shift_lock,注释
系统,Brightness_down,☀️-,,BRIGHTNESS_DOWN,,,,,,,,,,,
系统,Brightness_up,☀️+,,BRIGHTNESS_UP,,,,,,,,,,,
系统,Calculator,计算器,,CALCULATOR,,,,,,,,,,,
系统,Calendar,🗓,,CALENDAR,,,,,,,,,,,
系统,Contacts,☎️,,CONTACTS,,,,,,,,,,,
系统,Envelope,📧,,ENVELOPE,,,,,,,,,,,
系统,Explorer,🌐,,EXPLORER,,,,,,,,,,,
系统,Music,🎵,,MUSIC,,,,,,,,,,,
系统,Power,电源,,POWER,,,,,,,,,,,
系统,Search,🔍,,Find,,,,,,,,,,,
系统,Sleep,💤,,SLEEP,,,,,,,,,,,
系统,Voice_assist,🎙,,VOICE_ASSIST,,,,,,,,,,,
系统,Volume_down,🔈-,,VOLUME_DOWN,,,,,,,,,,,
系统,Volume_up,🔈+,,VOLUME_UP,,,,,,,,,,,
系统,Volume_mute,🔇,,VOLUME_MUTE,,,,,,,,,,,
编辑,Shift,⇧,,Shift_L,,,,,,,,,false,ascii_long,合并CapsLock
编辑,Return,⏎,,Return,,,,,,,,,false,,
编辑,Return1,return,,Return,,,,,,,,,false,,
编辑,Hide,⌵,,BACK,,,,,,,,,,,
编辑,Backspace,⌫,,BackSpace,,,,,,,,true,,,
编辑,Space," ",,space,,,,,,,,FALSE,false,,
编辑,Space_con,"____",,space,,,,,,,,true,,,
编辑,Clear,⎚,,Clear,,,,,,,,,,,
编辑,Escape,⏏️,,Escape,,,,,,,,,,,
编辑,Home,⇱,,Home,,,,,,,,,,,
编辑,Insert,⎀,,Insert,,,,,,,,,,,
编辑,Delete,⌦,,Delete,,,,,,,,,,,
编辑,End,⇲,,End,,,,,,,,,,,
编辑,Page_up,⎗,,Page_Up,,,,,,,,,,,
编辑,Page_down,⎘,,Page_Down,,,,,,,,,,,
编辑,Left,←,,Left,,,,,,,,,,,
编辑,Down,↓,,Down,,,,,,,,,,,
编辑,Up,↑,,Up,,,,,,,,,,,
